city_name,state_id,lat,lng,population_city,density_city,incorporated_city,ranking_city
East Los Angeles,CA,34.0326,-118.1691,117222,6072.6,0,2
Redding,CA,40.5698,-122.365,117163,605.9,1,2
Clearwater,FL,27.979,-82.7623,116984,1727.4,1,2
Monroe,LA,32.5185,-92.0774,116927,620.2,1,2
Utica,NY,43.0962,-75.2261,116766,1494.5,1,2
St. Cloud,MN,45.534,-94.1718,116649,662.4,1,2
Mandeville,LA,30.3751,-90.0904,116649,665.0,1,2
West Jordan,UT,40.6024,-112.0008,116383,1390.4,1,2
North Charleston,SC,32.9067,-80.0722,115755,575.7,1,2
Richmond,CA,37.9477,-122.3389,115619,1485.9,1,2
Westminster,CO,39.8837,-105.0624,115502,1411.9,1,2
Saginaw,MI,43.4199,-83.9501,115442,1000.9,1,2
Kailua,HI,21.392,-157.7396,115264,2003.2,0,2
Brandon,FL,27.9367,-82.3,114923,1339.2,0,2
Ponce,PR,18.0127,-66.6212,114901,1509.8,0,2
Carlsbad,CA,33.1246,-117.2834,114745,1171.7,1,2
Lowell,MA,42.6389,-71.3217,114737,3254.9,1,2
Broken Arrow,OK,36.038,-95.7806,114237,700.6,1,2
Elgin,IL,42.0383,-88.324,114190,1159.4,1,2
Gresham,OR,45.5021,-122.4413,113525,1863.7,1,2
League City,TX,29.4874,-95.1087,113469,853.0,1,2
Downey,CA,33.9379,-118.1311,113052,3517.5,1,2
Waterloo,IA,42.4918,-92.3522,112333,421.6,1,2
Murrieta,CA,33.5719,-117.1909,111899,1288.3,1,2
Leominster,MA,42.5209,-71.7717,111856,584.3,1,2
Longview,TX,32.5193,-94.7622,111855,568.3,1,2
Jacksonville,NC,34.7289,-77.3941,111830,568.9,1,2
Pompano Beach,FL,26.2428,-80.1312,111790,1793.5,1,2
Bend,OR,44.0563,-121.3095,111774,1108.2,1,2
Miami Gardens,FL,25.9433,-80.2426,111618,2332.6,1,2
Costa Mesa,CA,33.6667,-117.9135,111490,2723.5,1,2
Sioux City,IA,42.4959,-96.3901,111361,564.5,1,2
Everett,WA,47.9525,-122.1669,110847,1273.7,1,2
Gilroy,CA,37.0046,-121.5854,110720,1370.5,1,2
San Buenaventura,CA,34.2741,-119.2314,110358,1948.0,1,2
Temecula,CA,33.4928,-117.1315,110114,1143.6,1,2
Sugar Land,TX,29.5935,-95.6358,110077,1050.2,1,2
Chico,CA,39.7578,-121.8161,110001,1152.0,1,2
Eau Claire,WI,44.8197,-91.4948,109491,804.6,1,2
El Monte,CA,34.0739,-118.0291,108682,4390.7,1,2
Idaho Falls,ID,43.4871,-112.0362,108544,971.5,1,2
Dearborn,MI,42.3127,-83.213,108414,1726.4,1,2
Bloomington,IN,39.1637,-86.5257,108387,1312.0,1,2
West Covina,CA,34.0555,-117.9113,108173,2604.4,1,2
Sparks,NV,39.5736,-119.7161,108025,1143.0,1,2
South Fulton,GA,33.6273,-84.58,107865,447.9,1,2
Centennial,CO,39.5926,-104.8673,107702,1398.1,1,2
Sandy Springs,GA,33.9366,-84.3703,107221,1099.3,1,2
Inglewood,CA,33.9566,-118.3444,106806,4547.9,1,2
Hillsboro,OR,45.5273,-122.936,106612,1592.8,1,2
Columbia,MD,39.2004,-76.859,106600,1288.9,0,2
Burbank,CA,34.1879,-118.3235,106389,2372.2,1,2
Davie,FL,26.0789,-80.287,105821,1170.9,1,2
El Cajon,CA,32.8017,-116.9604,105721,2813.3,1,2
Jurupa Valley,CA,34.001,-117.4706,105672,950.2,1,2
Allen,TX,33.1088,-96.6735,105444,1542.1,1,2
Auburn,AL,32.6087,-85.4903,105386,476.6,1,2
Renton,WA,47.4784,-122.1918,105355,1728.0,1,2
Holland,MI,42.7677,-86.0984,105134,791.2,1,2
